tti,event,ue,pkt_bits,retx,sinr_db,cqi,rb_alloc,rb_perr
41,ACK,26,4724,0,30.00,15,6,0.000100
41,ACK,0,11610,0,18.14,12,22,0.000300
42,ACK,1,2770,0,12.71,9,9,0.022609
42,ACK,6,10540,0,24.51,15,13,0.000100
42,NACK,10,10748,1,11.87,9,32,0.043319
43,NACK,18,3417,1,4.03,5,24,0.959812
43,ACK,20,3966,0,30.00,15,5,0.000100
43,ACK,11,2262,0,25.67,15,3,0.000100
43,ACK,14,3930,0,30.00,15,5,0.000100
43,ACK,15,9972,0,30.00,15,12,0.000100
43,NACK,19,6023,1,5.91,6,32,0.842169
44,NACK,25,4434,1,7.26,7,19,0.644267
44,ACK,28,4910,0,18.44,12,9,0.000236
44,ACK,10,1488,0,11.26,9,5,0.068625
44,ACK,16,7516,0,15.50,11,16,0.002468
44,ACK,26,11368,0,30.00,15,14,0.000100
44,NACK,2,1476,1,1.03,3,16,0.996241
44,ACK,7,2920,0,15.84,11,7,0.001879
44,ACK,9,4616,0,23.09,15,6,0.000100
44,ACK,20,2118,0,29.96,15,3,0.000100
45,ACK,30,4623,0,23.86,15,6,0.000100
45,ACK,31,10497,0,29.01,15,13,0.000100
45,ACK,5,5600,0,19.01,13,9,0.000150
45,ACK,6,5531,0,26.56,15,7,0.000100
45,ACK,10,10989,0,13.12,10,27,0.016342
45,ACK,15,827,0,30.00,15,1,0.000100
45,ACK,23,3910,0,16.85,11,9,0.000841
45,NACK,24,6519,1,9.39,8,23,0.246821
46,ACK,27,4704,0,18.00,12,9,0.000336
46,NACK,29,1064,1,6.59,6,6,0.755802
46,ACK,12,3735,0,24.06,15,5,0.000100
46,ACK,16,6132,0,15.89,11,13,0.001808
46,NACK,25,3279,1,9.63,8,12,0.212913
46,ACK,30,10496,0,22.88,14,15,0.000100
46,ACK,0,10110,0,17.41,12,19,0.000537
46,ACK,9,6318,0,21.93,14,9,0.000100
46,ACK,11,1983,0,24.94,15,3,0.000100
46,ACK,12,5538,0,24.06,15,7,0.000100
47,ACK,20,4499,0,30.00,15,6,0.000100
47,ACK,23,5490,0,15.37,11,12,0.002748
47,NACK,25,3600,1,7.75,7,15,0.550668
47,ACK,31,7448,0,30.00,15,9,0.000100
47,NACK,4,9857,1,7.08,7,42,0.676973
47,ACK,10,2985,0,12.06,9,9,0.037484
48,ACK,12,3979,0,23.48,15,5,0.000100
48,NACK,13,9148,1,11.50,9,28,0.057445
48,NACK,17,9893,1,15.30,11,21,0.002891
48,ACK,22,7945,0,11.34,9,24,0.064725
48,ACK,24,3152,0,12.96,9,10,0.018588
49,ACK,27,1413,0,18.05,12,3,0.000322
49,ACK,0,8864,0,19.06,13,14,0.000143
49,NACK,2,7653,1,3.01,5,54,0.981839
49,ACK,6,11928,0,21.55,14,17,0.000100
49,ACK,11,1841,0,28.28,15,3,0.000100
50,ACK,14,4051,0,26.53,15,5,0.000100
50,ACK,15,1070,0,30.00,15,2,0.000100
50,ACK,16,6670,0,18.12,12,13,0.000305
50,NACK,19,11226,1,9.20,8,39,0.276775
50,ACK,17,11292,0,12.77,9,34,0.021470
50,ACK,22,1946,0,11.28,9,6,0.067359
51,ACK,31,7414,0,30.00,15,9,0.000100
51,ACK,1,11387,0,16.91,11,24,0.000803
51,ACK,7,7629,0,17.96,12,14,0.000347
51,NACK,19,9781,1,10.14,8,34,0.152940
51,ACK,23,2976,0,17.35,12,6,0.000565
52,ACK,27,2923,0,18.99,12,6,0.000152
52,ACK,5,7461,0,19.47,13,12,0.000104
52,NACK,19,8447,1,8.98,7,36,0.312989
52,ACK,26,11881,0,30.00,15,15,0.000100
52,ACK,27,9634,0,18.99,12,18,0.000152
52,ACK,30,9009,0,24.70,15,11,0.000100
53,ACK,31,5959,0,30.00,15,8,0.000100
53,ACK,0,6245,0,14.32,10,16,0.006323
53,ACK,7,2010,0,17.27,12,4,0.000603
53,ACK,15,3283,0,30.00,15,4,0.000100
53,NACK,18,5084,1,7.46,7,22,0.605573
53,ACK,28,9833,0,19.58,13,16,0.000100
54,NACK,29,2364,1,10.36,8,9,0.131614
54,ACK,0,3941,0,15.11,11,9,0.003388
54,ACK,7,1815,0,16.63,11,4,0.001005
54,ACK,15,5247,0,30.00,15,7,0.000100
54,ACK,23,1445,0,16.19,11,4,0.001426
54,ACK,7,3540,0,16.63,11,8,0.001005
54,ACK,9,5391,0,27.92,15,7,0.000100
54,ACK,10,4489,0,12.37,9,14,0.029334
54,NACK,17,10970,1,11.93,9,33,0.041351
55,ACK,20,4420,0,28.14,15,6,0.000100
55,ACK,26,4843,0,30.00,15,6,0.000100
55,ACK,30,10525,0,23.72,15,13,0.000100
55,ACK,7,5222,0,19.15,13,9,0.000134
55,NACK,8,9145,1,11.35,9,28,0.064342
55,ACK,15,3265,0,30.00,15,4,0.000100
55,ACK,19,2676,0,11.27,9,8,0.068205
55,NACK,22,4707,1,9.49,8,17,0.232372
55,ACK,31,6109,0,30.00,15,8,0.000100
56,ACK,1,4818,0,20.84,13,8,0.000100
56,ACK,15,9446,0,30.00,15,12,0.000100
56,ACK,27,5302,0,19.04,13,9,0.000146
56,NACK,29,9873,1,12.60,9,30,0.024634
56,ACK,31,1027,0,30.00,15,2,0.000100
56,ACK,0,7758,0,18.40,12,15,0.000244
57,NACK,2,7332,1,3.22,5,51,0.978619
57,ACK,5,7648,0,14.55,10,19,0.005282
58,ACK,22,255,0,12.50,9,1,0.026623
58,NACK,25,7647,1,8.41,7,32,0.418228
58,ACK,31,2288,0,28.96,15,3,0.000100
58,NACK,2,5592,1,5.35,6,30,0.893164
58,ACK,7,8971,0,21.88,14,13,0.000100
58,ACK,11,9036,0,23.95,15,11,0.000100
58,ACK,14,1721,0,26.33,15,3,0.000100
59,ACK,16,2233,0,21.10,14,4,0.000100
59,NACK,17,4218,1,8.93,7,18,0.322273
59,ACK,22,3296,0,12.43,9,10,0.028070
59,ACK,23,8414,0,15.39,11,18,0.002707
59,NACK,24,3410,1,6.57,6,18,0.758489
60,NACK,25,3562,1,7.67,7,15,0.566577
60,ACK,1,7873,0,18.76,12,15,0.000183
60,ACK,3,3284,0,21.70,14,5,0.000100
60,ACK,7,2032,0,20.83,13,4,0.000100
60,ACK,11,7788,0,24.82,15,10,0.000100
60,ACK,12,10276,0,18.24,12,19,0.000278
60,NACK,24,4136,1,6.16,6,22,0.813395
61,NACK,25,1584,1,10.37,8,6,0.130818
61,NACK,29,3818,1,11.87,9,12,0.043246
61,NACK,18,2616,1,6.93,6,14,0.701971
61,NACK,22,9355,1,9.37,8,33,0.249827
61,ACK,30,4600,0,25.91,15,6,0.000100
61,ACK,31,4259,0,26.57,15,6,0.000100
61,ACK,3,8468,0,21.56,14,12,0.000100
61,ACK,5,1464,0,14.33,10,4,0.006268
62,NACK,4,2175,1,9.83,8,8,0.187699
62,NACK,6,9278,1,18.18,12,17,0.000290
62,ACK,9,1480,0,29.67,15,2,0.000100
62,NACK,13,10066,1,11.62,9,30,0.052446
62,ACK,21,5629,0,22.60,14,8,0.000100
62,NACK,29,11252,1,12.06,9,34,0.037407
63,ACK,30,10835,0,25.90,15,13,0.000100
63,ACK,5,8758,0,13.10,10,22,0.016639
63,ACK,9,4984,0,30.00,15,6,0.000100
63,NACK,10,7118,1,6.50,6,38,0.768111
63,ACK,13,1085,0,12.84,9,4,0.020382
63,ACK,15,1205,0,30.00,15,2,0.000100
63,ACK,21,11015,0,24.39,15,14,0.000100
64,NACK,22,11130,1,11.28,9,34,0.067559
64,ACK,5,3062,0,15.39,11,7,0.002690
64,ACK,6,4366,0,17.02,12,8,0.000733
64,ACK,7,6525,0,23.79,15,8,0.000100
64,NACK,8,9883,1,9.44,8,35,0.240136
64,ACK,13,2403,0,15.24,11,6,0.003038
65,ACK,15,10078,0,30.00,15,12,0.000100
65,ACK,23,5335,0,16.89,11,12,0.000815
65,ACK,1,10915,0,18.54,12,20,0.000219
65,NACK,10,11031,1,7.65,7,46,0.570483
65,ACK,13,1499,0,17.18,12,3,0.000647
66,ACK,23,176,0,17.04,12,1,0.000721
66,NACK,4,6156,1,10.21,8,22,0.145488
66,ACK,6,805,0,16.35,11,2,0.001251
66,NACK,8,2238,1,8.35,7,10,0.430646
66,ACK,14,1045,0,26.05,15,2,0.000100
66,ACK,15,5704,0,30.00,15,7,0.000100
66,ACK,26,9892,0,30.00,15,12,0.000100
66,ACK,3,11972,0,16.57,11,25,0.001055
66,ACK,5,6415,0,16.99,11,14,0.000749
67,ACK,9,4321,0,29.88,15,6,0.000100
67,NACK,10,2214,1,8.12,7,10,0.476615
67,ACK,23,8992,0,20.34,13,14,0.000100
67,ACK,26,5788,0,30.00,15,7,0.000100
67,ACK,28,5760,0,16.89,11,12,0.000812
67,NACK,0,8409,1,14.15,10,21,0.007241
67,ACK,1,9263,0,16.50,11,20,0.001109
68,NACK,2,7918,1,3.78,5,55,0.967011
68,ACK,5,10404,0,18.08,12,19,0.000314
68,ACK,12,6112,0,24.32,15,8,0.000100
68,ACK,14,3168,0,26.99,15,4,0.000100
68,NACK,25,2934,1,9.89,8,11,0.180417
69,ACK,31,1543,0,27.21,15,2,0.000100
69,NACK,2,10242,1,3.85,5,72,0.965034
69,ACK,3,1835,0,18.05,12,4,0.000323
70,NACK,8,450,1,7.99,7,2,0.501708
70,NACK,10,2011,1,11.36,9,6,0.063894
70,ACK,11,4225,0,30.00,15,6,0.000100
70,ACK,15,6948,0,30.00,15,9,0.000100
70,NACK,18,4428,1,9.22,8,16,0.273449
70,NACK,19,5740,1,9.30,8,20,0.260676
70,ACK,23,10285,0,16.31,11,22,0.001295
71,NACK,4,1461,1,9.08,8,6,0.297157
71,ACK,5,7978,0,20.10,13,13,0.000100
71,ACK,16,1132,0,19.80,13,2,0.000100
71,NACK,24,7377,1,5.50,6,39,0.880649
71,ACK,5,8055,0,20.10,13,13,0.000100
72,NACK,8,1156,1,5.82,6,7,0.851077
72,ACK,10,10632,0,14.87,10,27,0.004080
72,ACK,13,1676,0,11.65,9,5,0.051157
72,NACK,18,6097,1,6.44,6,32,0.777485
73,NACK,22,1918,1,10.42,8,7,0.125900
73,ACK,28,984,0,15.33,11,3,0.002827
73,ACK,4,1154,0,11.12,9,4,0.075872
73,NACK,8,9769,1,7.47,7,41,0.604521
73,ACK,9,2322,0,28.01,15,3,0.000100
73,ACK,11,3283,0,30.00,15,4,0.000100
73,NACK,13,8389,1,9.69,8,30,0.205034
73,ACK,15,3258,0,30.00,15,4,0.000100
74,ACK,19,1221,0,11.56,9,4,0.054810
74,ACK,21,8988,0,26.51,15,11,0.000100
74,ACK,22,1311,0,12.52,9,4,0.026156
74,ACK,3,7995,0,19.54,13,13,0.000100
74,ACK,9,6891,0,28.26,15,9,0.000100
74,ACK,20,966,0,30.00,15,2,0.000100
74,ACK,0,2731,0,11.77,9,9,0.046787
74,ACK,1,2877,0,17.31,12,6,0.000584
74,ACK,10,10462,0,12.84,9,32,0.020325
75,ACK,22,6908,0,15.21,11,15,0.003108
75,ACK,0,8398,0,12.76,9,25,0.021776
75,ACK,9,1622,0,27.12,15,2,0.000100
75,NACK,19,3689,1,10.08,8,13,0.159233
75,ACK,21,4253,0,24.99,15,6,0.000100
75,ACK,22,10717,0,15.21,11,23,0.003108
76,ACK,23,7,0,15.85,11,1,0.001875
76,NACK,25,2933,1,9.15,8,11,0.284735
76,NACK,0,6719,1,11.23,9,20,0.070107
76,ACK,1,7057,0,19.91,13,11,0.000100
76,ACK,3,7111,0,23.84,15,9,0.000100
76,ACK,9,5838,0,29.60,15,7,0.000100
76,ACK,11,11815,0,27.86,15,15,0.000100
76,ACK,16,8526,0,20.23,13,14,0.000100
76,ACK,26,9529,0,30.00,15,12,0.000100
77,ACK,28,10146,0,14.18,10,25,0.007061
77,NACK,4,4781,1,11.17,9,15,0.073345
77,ACK,9,1475,0,30.00,15,2,0.000100
77,NACK,17,8009,1,6.29,6,42,0.796694
77,NACK,19,4947,1,11.03,9,15,0.081063
78,ACK,22,4251,0,12.35,9,13,0.029795
78,NACK,25,10691,1,8.96,7,45,0.316631
78,ACK,29,4376,0,12.46,9,14,0.027430
78,ACK,30,3233,0,22.72,14,5,0.000100
78,ACK,3,5815,0,24.33,15,7,0.000100
78,ACK,4,1954,0,12.32,9,6,0.030601
78,ACK,7,1053,0,19.06,13,2,0.000144
79,ACK,11,1369,0,23.97,15,2,0.000100
79,ACK,12,3542,0,22.33,14,5,0.000100
79,NACK,18,5523,1,4.83,5,39,0.926458
79,ACK,20,8779,0,28.61,15,11,0.000100
79,ACK,21,9627,0,22.57,14,13,0.000100
79,NACK,22,4908,1,11.90,9,15,0.042231
79,ACK,27,7234,0,23.26,15,9,0.000100
80,NACK,8,5257,1,8.55,7,22,0.392322
80,ACK,12,6459,0,22.46,14,9,0.000100
80,ACK,14,10843,0,23.37,15,13,0.000100
80,ACK,21,1452,0,20.72,13,3,0.000100
80,NACK,22,9205,1,11.75,9,28,0.047571
